topic_id,category,column_continuous,n_window_members
65,uncertainty_expressions,uncertainty_expressions_topic_65,3627
303,uncertainty_expressions,uncertainty_expressions_topic_303,1253
417,uncertainty_expressions,uncertainty_expressions_topic_417,997
429,uncertainty_expressions,uncertainty_expressions_topic_429,978
730,uncertainty_expressions,uncertainty_expressions_topic_730,669
872,uncertainty_expressions,uncertainty_expressions_topic_872,598
1036,uncertainty_expressions,uncertainty_expressions_topic_1036,530
1170,uncertainty_expressions,uncertainty_expressions_topic_1170,480
1407,uncertainty_expressions,uncertainty_expressions_topic_1407,417
1585,uncertainty_expressions,uncertainty_expressions_topic_1585,378
1803,uncertainty_expressions,uncertainty_expressions_topic_1803,337
2230,uncertainty_expressions,uncertainty_expressions_topic_2230,263
2328,uncertainty_expressions,uncertainty_expressions_topic_2328,250
2384,uncertainty_expressions,uncertainty_expressions_topic_2384,243
2463,uncertainty_expressions,uncertainty_expressions_topic_2463,233
2600,uncertainty_expressions,uncertainty_expressions_topic_2600,219
2832,uncertainty_expressions,uncertainty_expressions_topic_2832,195
2843,uncertainty_expressions,uncertainty_expressions_topic_2843,194
0,identity_framing,identity_framing_topic_0,36638
16,identity_framing,identity_framing_topic_16,6908
37,identity_framing,identity_framing_topic_37,4944
95,identity_framing,identity_framing_topic_95,2781
99,identity_framing,identity_framing_topic_99,2714
119,identity_framing,identity_framing_topic_119,2299
144,identity_framing,identity_framing_topic_144,2024
149,identity_framing,identity_framing_topic_149,1968
161,identity_framing,identity_framing_topic_161,1834
174,identity_framing,identity_framing_topic_174,1776
255,identity_framing,identity_framing_topic_255,1387
258,identity_framing,identity_framing_topic_258,1372
298,identity_framing,identity_framing_topic_298,1268
310,identity_framing,identity_framing_topic_310,1235
322,identity_framing,identity_framing_topic_322,1209
384,identity_framing,identity_framing_topic_384,1055
409,identity_framing,identity_framing_topic_409,1013
455,identity_framing,identity_framing_topic_455,940
502,identity_framing,identity_framing_topic_502,864
512,identity_framing,identity_framing_topic_512,855
917,identity_framing,identity_framing_topic_917,577
1018,identity_framing,identity_framing_topic_1018,538
1109,identity_framing,identity_framing_topic_1109,502
1193,identity_framing,identity_framing_topic_1193,472
1201,identity_framing,identity_framing_topic_1201,469
1233,identity_framing,identity_framing_topic_1233,461
1276,identity_framing,identity_framing_topic_1276,448
1279,identity_framing,identity_framing_topic_1279,447
1428,identity_framing,identity_framing_topic_1428,413
1550,identity_framing,identity_framing_topic_1550,384
1897,identity_framing,identity_framing_topic_1897,319
1972,identity_framing,identity_framing_topic_1972,304
2200,identity_framing,identity_framing_topic_2200,268
2331,identity_framing,identity_framing_topic_2331,250
2363,identity_framing,identity_framing_topic_2363,245
2437,identity_framing,identity_framing_topic_2437,237
2544,identity_framing,identity_framing_topic_2544,225
2547,identity_framing,identity_framing_topic_2547,225
3184,identity_framing,identity_framing_topic_3184,166
3203,identity_framing,identity_framing_topic_3203,165
3243,identity_framing,identity_framing_topic_3243,161
3263,identity_framing,identity_framing_topic_3263,160
15,normative_pressure,normative_pressure_topic_15,7132
40,normative_pressure,normative_pressure_topic_40,4691
66,normative_pressure,normative_pressure_topic_66,3606
86,normative_pressure,normative_pressure_topic_86,2974
106,normative_pressure,normative_pressure_topic_106,2636
114,normative_pressure,normative_pressure_topic_114,2451
245,normative_pressure,normative_pressure_topic_245,1420
275,normative_pressure,normative_pressure_topic_275,1309
306,normative_pressure,normative_pressure_topic_306,1239
323,normative_pressure,normative_pressure_topic_323,1207
335,normative_pressure,normative_pressure_topic_335,1170
368,normative_pressure,normative_pressure_topic_368,1080
375,normative_pressure,normative_pressure_topic_375,1069
454,normative_pressure,normative_pressure_topic_454,943
491,normative_pressure,normative_pressure_topic_491,881
529,normative_pressure,normative_pressure_topic_529,838
581,normative_pressure,normative_pressure_topic_581,780
691,normative_pressure,normative_pressure_topic_691,694
706,normative_pressure,normative_pressure_topic_706,682
708,normative_pressure,normative_pressure_topic_708,682
720,normative_pressure,normative_pressure_topic_720,674
722,normative_pressure,normative_pressure_topic_722,674
768,normative_pressure,normative_pressure_topic_768,655
855,normative_pressure,normative_pressure_topic_855,605
892,normative_pressure,normative_pressure_topic_892,586
952,normative_pressure,normative_pressure_topic_952,563
978,normative_pressure,normative_pressure_topic_978,551
1008,normative_pressure,normative_pressure_topic_1008,540
1054,normative_pressure,normative_pressure_topic_1054,522
1114,normative_pressure,normative_pressure_topic_1114,499
1196,normative_pressure,normative_pressure_topic_1196,471
1242,normative_pressure,normative_pressure_topic_1242,459
1249,normative_pressure,normative_pressure_topic_1249,456
1281,normative_pressure,normative_pressure_topic_1281,447
1289,normative_pressure,normative_pressure_topic_1289,445
1341,normative_pressure,normative_pressure_topic_1341,432
1354,normative_pressure,normative_pressure_topic_1354,429
1370,normative_pressure,normative_pressure_topic_1370,426
1371,normative_pressure,normative_pressure_topic_1371,425
1463,normative_pressure,normative_pressure_topic_1463,402
1502,normative_pressure,normative_pressure_topic_1502,394
1508,normative_pressure,normative_pressure_topic_1508,392
1509,normative_pressure,normative_pressure_topic_1509,392
1618,normative_pressure,normative_pressure_topic_1618,371
1637,normative_pressure,normative_pressure_topic_1637,368
1655,normative_pressure,normative_pressure_topic_1655,364
1699,normative_pressure,normative_pressure_topic_1699,354
1813,normative_pressure,normative_pressure_topic_1813,335
1873,normative_pressure,normative_pressure_topic_1873,324
1897,normative_pressure,normative_pressure_topic_1897,319
