topic_id,category,column_continuous,n_window_members
49,uncertainty_expressions,uncertainty_expressions_topic_49,2696
228,uncertainty_expressions,uncertainty_expressions_topic_228,1156
269,uncertainty_expressions,uncertainty_expressions_topic_269,1031
307,uncertainty_expressions,uncertainty_expressions_topic_307,947
378,uncertainty_expressions,uncertainty_expressions_topic_378,835
440,uncertainty_expressions,uncertainty_expressions_topic_440,762
468,uncertainty_expressions,uncertainty_expressions_topic_468,740
611,uncertainty_expressions,uncertainty_expressions_topic_611,628
915,uncertainty_expressions,uncertainty_expressions_topic_915,501
1277,uncertainty_expressions,uncertainty_expressions_topic_1277,411
1351,uncertainty_expressions,uncertainty_expressions_topic_1351,398
1917,uncertainty_expressions,uncertainty_expressions_topic_1917,315
2143,uncertainty_expressions,uncertainty_expressions_topic_2143,288
2232,uncertainty_expressions,uncertainty_expressions_topic_2232,278
2242,uncertainty_expressions,uncertainty_expressions_topic_2242,277
2378,uncertainty_expressions,uncertainty_expressions_topic_2378,264
2552,uncertainty_expressions,uncertainty_expressions_topic_2552,246
2762,uncertainty_expressions,uncertainty_expressions_topic_2762,227
2945,uncertainty_expressions,uncertainty_expressions_topic_2945,213
3169,uncertainty_expressions,uncertainty_expressions_topic_3169,197
3378,uncertainty_expressions,uncertainty_expressions_topic_3378,184
3831,uncertainty_expressions,uncertainty_expressions_topic_3831,159
3984,uncertainty_expressions,uncertainty_expressions_topic_3984,151
33,identity_framing,identity_framing_topic_33,3629
37,identity_framing,identity_framing_topic_37,3229
54,identity_framing,identity_framing_topic_54,2633
89,identity_framing,identity_framing_topic_89,1887
108,identity_framing,identity_framing_topic_108,1757
136,identity_framing,identity_framing_topic_136,1507
145,identity_framing,identity_framing_topic_145,1438
215,identity_framing,identity_framing_topic_215,1185
220,identity_framing,identity_framing_topic_220,1173
258,identity_framing,identity_framing_topic_258,1068
323,identity_framing,identity_framing_topic_323,918
328,identity_framing,identity_framing_topic_328,901
471,identity_framing,identity_framing_topic_471,739
476,identity_framing,identity_framing_topic_476,736
497,identity_framing,identity_framing_topic_497,719
506,identity_framing,identity_framing_topic_506,710
528,identity_framing,identity_framing_topic_528,694
553,identity_framing,identity_framing_topic_553,670
644,identity_framing,identity_framing_topic_644,610
671,identity_framing,identity_framing_topic_671,595
759,identity_framing,identity_framing_topic_759,554
798,identity_framing,identity_framing_topic_798,542
809,identity_framing,identity_framing_topic_809,537
825,identity_framing,identity_framing_topic_825,531
840,identity_framing,identity_framing_topic_840,526
879,identity_framing,identity_framing_topic_879,516
951,identity_framing,identity_framing_topic_951,488
953,identity_framing,identity_framing_topic_953,487
1007,identity_framing,identity_framing_topic_1007,473
1038,identity_framing,identity_framing_topic_1038,467
1044,identity_framing,identity_framing_topic_1044,464
1067,identity_framing,identity_framing_topic_1067,458
1169,identity_framing,identity_framing_topic_1169,431
1228,identity_framing,identity_framing_topic_1228,421
1239,identity_framing,identity_framing_topic_1239,417
1289,identity_framing,identity_framing_topic_1289,409
1291,identity_framing,identity_framing_topic_1291,409
1321,identity_framing,identity_framing_topic_1321,404
1324,identity_framing,identity_framing_topic_1324,403
1350,identity_framing,identity_framing_topic_1350,399
1365,identity_framing,identity_framing_topic_1365,396
1461,identity_framing,identity_framing_topic_1461,381
1525,identity_framing,identity_framing_topic_1525,369
1528,identity_framing,identity_framing_topic_1528,369
1591,identity_framing,identity_framing_topic_1591,359
1641,identity_framing,identity_framing_topic_1641,351
1666,identity_framing,identity_framing_topic_1666,346
1710,identity_framing,identity_framing_topic_1710,340
1732,identity_framing,identity_framing_topic_1732,339
1792,identity_framing,identity_framing_topic_1792,333
1816,identity_framing,identity_framing_topic_1816,329
1841,identity_framing,identity_framing_topic_1841,325
1879,identity_framing,identity_framing_topic_1879,320
1885,identity_framing,identity_framing_topic_1885,319
1945,identity_framing,identity_framing_topic_1945,312
1963,identity_framing,identity_framing_topic_1963,309
1969,identity_framing,identity_framing_topic_1969,308
2033,identity_framing,identity_framing_topic_2033,301
2056,identity_framing,identity_framing_topic_2056,298
2084,identity_framing,identity_framing_topic_2084,295
2150,identity_framing,identity_framing_topic_2150,287
2241,identity_framing,identity_framing_topic_2241,277
2256,identity_framing,identity_framing_topic_2256,276
2289,identity_framing,identity_framing_topic_2289,272
2468,identity_framing,identity_framing_topic_2468,255
2527,identity_framing,identity_framing_topic_2527,248
2564,identity_framing,identity_framing_topic_2564,245
2592,identity_framing,identity_framing_topic_2592,242
2606,identity_framing,identity_framing_topic_2606,241
2609,identity_framing,identity_framing_topic_2609,240
2630,identity_framing,identity_framing_topic_2630,238
2638,identity_framing,identity_framing_topic_2638,237
2643,identity_framing,identity_framing_topic_2643,237
2677,identity_framing,identity_framing_topic_2677,233
2678,identity_framing,identity_framing_topic_2678,233
2713,identity_framing,identity_framing_topic_2713,230
2778,identity_framing,identity_framing_topic_2778,226
2786,identity_framing,identity_framing_topic_2786,224
2903,identity_framing,identity_framing_topic_2903,216
2927,identity_framing,identity_framing_topic_2927,215
3005,identity_framing,identity_framing_topic_3005,208
3010,identity_framing,identity_framing_topic_3010,208
3073,identity_framing,identity_framing_topic_3073,203
3092,identity_framing,identity_framing_topic_3092,202
3152,identity_framing,identity_framing_topic_3152,198
3164,identity_framing,identity_framing_topic_3164,197
3293,identity_framing,identity_framing_topic_3293,189
3322,identity_framing,identity_framing_topic_3322,188
3369,identity_framing,identity_framing_topic_3369,185
3373,identity_framing,identity_framing_topic_3373,185
3402,identity_framing,identity_framing_topic_3402,183
3726,identity_framing,identity_framing_topic_3726,164
3821,identity_framing,identity_framing_topic_3821,160
3837,identity_framing,identity_framing_topic_3837,159
3894,identity_framing,identity_framing_topic_3894,156
3904,identity_framing,identity_framing_topic_3904,155
15,normative_pressure,normative_pressure_topic_15,7162
42,normative_pressure,normative_pressure_topic_42,2949
50,normative_pressure,normative_pressure_topic_50,2684
90,normative_pressure,normative_pressure_topic_90,1881
176,normative_pressure,normative_pressure_topic_176,1326
187,normative_pressure,normative_pressure_topic_187,1279
195,normative_pressure,normative_pressure_topic_195,1252
214,normative_pressure,normative_pressure_topic_214,1185
223,normative_pressure,normative_pressure_topic_223,1166
334,normative_pressure,normative_pressure_topic_334,893
524,normative_pressure,normative_pressure_topic_524,695
535,normative_pressure,normative_pressure_topic_535,689
538,normative_pressure,normative_pressure_topic_538,687
575,normative_pressure,normative_pressure_topic_575,650
578,normative_pressure,normative_pressure_topic_578,647
582,normative_pressure,normative_pressure_topic_582,646
634,normative_pressure,normative_pressure_topic_634,616
640,normative_pressure,normative_pressure_topic_640,614
696,normative_pressure,normative_pressure_topic_696,582
748,normative_pressure,normative_pressure_topic_748,556
778,normative_pressure,normative_pressure_topic_778,548
782,normative_pressure,normative_pressure_topic_782,547
866,normative_pressure,normative_pressure_topic_866,519
893,normative_pressure,normative_pressure_topic_893,510
944,normative_pressure,normative_pressure_topic_944,490
978,normative_pressure,normative_pressure_topic_978,481
981,normative_pressure,normative_pressure_topic_981,481
990,normative_pressure,normative_pressure_topic_990,477
993,normative_pressure,normative_pressure_topic_993,476
1102,normative_pressure,normative_pressure_topic_1102,446
1105,normative_pressure,normative_pressure_topic_1105,445
1108,normative_pressure,normative_pressure_topic_1108,445
1149,normative_pressure,normative_pressure_topic_1149,435
1162,normative_pressure,normative_pressure_topic_1162,432
1165,normative_pressure,normative_pressure_topic_1165,432
1281,normative_pressure,normative_pressure_topic_1281,410
1337,normative_pressure,normative_pressure_topic_1337,401
1386,normative_pressure,normative_pressure_topic_1386,392
1473,normative_pressure,normative_pressure_topic_1473,378
1500,normative_pressure,normative_pressure_topic_1500,373
1512,normative_pressure,normative_pressure_topic_1512,371
1513,normative_pressure,normative_pressure_topic_1513,371
1521,normative_pressure,normative_pressure_topic_1521,370
1534,normative_pressure,normative_pressure_topic_1534,368
1572,normative_pressure,normative_pressure_topic_1572,362
1642,normative_pressure,normative_pressure_topic_1642,351
1644,normative_pressure,normative_pressure_topic_1644,350
1660,normative_pressure,normative_pressure_topic_1660,347
1762,normative_pressure,normative_pressure_topic_1762,336
1974,normative_pressure,normative_pressure_topic_1974,308
2007,normative_pressure,normative_pressure_topic_2007,304
2032,normative_pressure,normative_pressure_topic_2032,301
2044,normative_pressure,normative_pressure_topic_2044,299
2065,normative_pressure,normative_pressure_topic_2065,297
2150,normative_pressure,normative_pressure_topic_2150,287
2424,normative_pressure,normative_pressure_topic_2424,259
2501,normative_pressure,normative_pressure_topic_2501,252
2590,normative_pressure,normative_pressure_topic_2590,243
2608,normative_pressure,normative_pressure_topic_2608,241
2648,normative_pressure,normative_pressure_topic_2648,236
2776,normative_pressure,normative_pressure_topic_2776,226
2843,normative_pressure,normative_pressure_topic_2843,220
2859,normative_pressure,normative_pressure_topic_2859,219
2946,normative_pressure,normative_pressure_topic_2946,213
2967,normative_pressure,normative_pressure_topic_2967,211
3164,normative_pressure,normative_pressure_topic_3164,197
3265,normative_pressure,normative_pressure_topic_3265,191
3282,normative_pressure,normative_pressure_topic_3282,190
3284,normative_pressure,normative_pressure_topic_3284,190
3286,normative_pressure,normative_pressure_topic_3286,190
3338,normative_pressure,normative_pressure_topic_3338,186
3390,normative_pressure,normative_pressure_topic_3390,183
3437,normative_pressure,normative_pressure_topic_3437,181
3533,normative_pressure,normative_pressure_topic_3533,175
3566,normative_pressure,normative_pressure_topic_3566,174
3577,normative_pressure,normative_pressure_topic_3577,173
3611,normative_pressure,normative_pressure_topic_3611,171
3647,normative_pressure,normative_pressure_topic_3647,169
3649,normative_pressure,normative_pressure_topic_3649,169
3733,normative_pressure,normative_pressure_topic_3733,164
3785,normative_pressure,normative_pressure_topic_3785,161
3881,normative_pressure,normative_pressure_topic_3881,157
3890,normative_pressure,normative_pressure_topic_3890,156
